symmetric_ratio,mean_asymmetry,max_asymmetry,instance_type,mutation_type,city_size,distribution,generation_type,range,iteration,generation,optimal_cost
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,3.4,0,0,
1.0,0.0,0.0,initial,scramble,30,lognormal,euclidean,0.2,0,0,
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,0.2,0,0,
1.0,0.0,0.0,initial,scramble,30,lognormal,euclidean,2.6,0,0,
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,2.6,0,0,
1.0,0.0,0.0,initial,scramble,30,lognormal,euclidean,4.8,0,0,
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,4.8,0,0,
1.0,0.0,0.0,initial,swap,20,lognormal,euclidean,2.6,56440,0,
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.6,0,0,
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.6,56440,1,271.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.6,61457,2,271.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.6,88305,6,252.0
