Generation,Iterations,Configuration
607,1441,uniform_asymmetric_wouter_30
608,1441,uniform_asymmetric_wouter_30
609,1442,uniform_asymmetric_wouter_30
610,1448,uniform_asymmetric_wouter_30
611,1448,uniform_asymmetric_wouter_30
612,1451,uniform_asymmetric_wouter_30
613,1451,uniform_asymmetric_wouter_30
614,1510,uniform_asymmetric_wouter_30
615,1510,uniform_asymmetric_wouter_30
616,1510,uniform_asymmetric_wouter_30
617,1510,uniform_asymmetric_wouter_30
618,1510,uniform_asymmetric_wouter_30
619,1510,uniform_asymmetric_wouter_30
620,1510,uniform_asymmetric_wouter_30
621,1510,uniform_asymmetric_wouter_30
622,1510,uniform_asymmetric_wouter_30
623,1510,uniform_asymmetric_wouter_30
624,1510,uniform_asymmetric_wouter_30
625,1510,uniform_asymmetric_wouter_30
626,1435,uniform_asymmetric_wouter_30
627,1435,uniform_asymmetric_wouter_30
628,1361,uniform_asymmetric_wouter_30
629,1364,uniform_asymmetric_wouter_30
630,1592,uniform_asymmetric_wouter_30
631,1592,uniform_asymmetric_wouter_30
632,1592,uniform_asymmetric_wouter_30
633,1592,uniform_asymmetric_wouter_30
634,1592,uniform_asymmetric_wouter_30
635,1592,uniform_asymmetric_wouter_30
636,1592,uniform_asymmetric_wouter_30
637,1592,uniform_asymmetric_wouter_30
638,1557,uniform_asymmetric_wouter_30
639,1557,uniform_asymmetric_wouter_30
640,1557,uniform_asymmetric_wouter_30
641,1553,uniform_asymmetric_wouter_30
642,1553,uniform_asymmetric_wouter_30
643,1553,uniform_asymmetric_wouter_30
644,1553,uniform_asymmetric_wouter_30
645,1553,uniform_asymmetric_wouter_30
646,1553,uniform_asymmetric_wouter_30
647,1553,uniform_asymmetric_wouter_30
648,1553,uniform_asymmetric_wouter_30
649,1553,uniform_asymmetric_wouter_30
650,1553,uniform_asymmetric_wouter_30
651,1553,uniform_asymmetric_wouter_30
652,1553,uniform_asymmetric_wouter_30
653,1553,uniform_asymmetric_wouter_30
654,1553,uniform_asymmetric_wouter_30
655,1553,uniform_asymmetric_wouter_30
656,1554,uniform_asymmetric_wouter_30
657,1646,uniform_asymmetric_wouter_30
658,1646,uniform_asymmetric_wouter_30
659,1646,uniform_asymmetric_wouter_30
660,1646,uniform_asymmetric_wouter_30
661,1646,uniform_asymmetric_wouter_30
662,1646,uniform_asymmetric_wouter_30
663,1646,uniform_asymmetric_wouter_30
664,1646,uniform_asymmetric_wouter_30
665,1646,uniform_asymmetric_wouter_30
666,1646,uniform_asymmetric_wouter_30
667,1646,uniform_asymmetric_wouter_30
668,1646,uniform_asymmetric_wouter_30
669,1646,uniform_asymmetric_wouter_30
670,1682,uniform_asymmetric_wouter_30
671,1683,uniform_asymmetric_wouter_30
672,1683,uniform_asymmetric_wouter_30
673,1683,uniform_asymmetric_wouter_30
674,1683,uniform_asymmetric_wouter_30
675,1683,uniform_asymmetric_wouter_30
676,1683,uniform_asymmetric_wouter_30
677,1686,uniform_asymmetric_wouter_30
678,1686,uniform_asymmetric_wouter_30
679,1509,uniform_asymmetric_wouter_30
680,2656,uniform_asymmetric_wouter_30
681,2656,uniform_asymmetric_wouter_30
682,2656,uniform_asymmetric_wouter_30
683,2656,uniform_asymmetric_wouter_30
